DOLocationID,PULocationID,RatecodeID,congestion_surcharge,extra,fare_amount,improvement_surcharge,mta_tax,passenger_count,payment_type,store_and_fwd_flag,tip_amount,tolls_amount,total_amount,tpep_dropoff_datetime,tpep_pickup_datetime,trip_distance,tpep_pickup_datetime_IST,tpep_dropoff_datetime_IST,diff
236,237,1,2.5,3.0,5.0,0.3,0.5,1,1,N,0.75,0.0,9.55,2021-01-01 00:47:08,2021-01-01 00:43:00,.80,2021-01-01 13:13:00,2021-01-01 13:17:08,248
75,162,1,2.5,3.0,10.5,0.3,0.5,1,1,Y,2.85,0.0,17.15,2021-01-01 00:38:50,2021-01-01 00:30:01,3,2021-01-01 13:00:01,2021-01-01 13:08:50,529
233,263,1,2.5,3.0,7.5,0.3,0.5,2,2,Y,0.0,0.0,11.3,2021-01-01 00:51:21,2021-01-01 00:45:34,2,2021-01-01 13:15:34,2021-01-01 13:21:21,347
263,141,1,2.5,3.0,5.0,0.3,0.5,2,1,N,2.5,0.0,11.3,2021-01-01 00:37:27,2021-01-01 00:34:38,1.1,2021-01-01 13:04:38,2021-01-01 13:07:27,169
141,263,1,2.5,3.0,4.0,0.3,0.5,1,1,N,2.0,0.0,9.8,2021-01-01 00:41:19,2021-01-01 00:39:50,.60,2021-01-01 13:09:50,2021-01-01 13:11:19,89
142,262,1,2.5,3.0,10.0,0.3,0.5,3,1,N,2.0,0.0,15.8,2021-01-01 00:56:54,2021-01-01 00:47:18,2.5,2021-01-01 13:17:18,2021-01-01 13:26:54,576
229,137,1,2.5,3.0,5.5,0.3,0.5,0,1,N,1.86,0.0,11.16,2021-01-01 00:32:04,2021-01-01 00:27:44,1.2,2021-01-01 12:57:44,2021-01-01 13:02:04,260
234,234,1,2.5,3.0,7.5,0.3,0.5,1,1,N,2.0,0.0,13.3,2021-01-01 00:23:20,2021-01-01 00:14:25,.80,2021-01-01 12:44:25,2021-01-01 12:53:20,535
246,68,1,2.5,3.0,3.0,0.3,0.5,1,1,N,1.0,0.0,7.8,2021-01-01 00:50:04,2021-01-01 00:49:10,.20,2021-01-01 13:19:10,2021-01-01 13:20:04,54
50,68,1,2.5,3.0,5.5,0.3,0.5,1,3,N,0.0,0.0,9.3,2021-01-01 00:39:11,2021-01-01 00:34:38,.70,2021-01-01 13:04:38,2021-01-01 13:09:11,273
181,249,1,2.5,3.0,16.0,0.3,0.5,1,2,N,0.0,0.0,19.8,2021-01-01 01:14:37,2021-01-01 00:59:27,4.6,2021-01-01 13:29:27,2021-01-01 13:44:37,910
234,114,1,2.5,3.0,11.5,0.3,0.5,2,1,N,4.55,0.0,19.85,2021-01-01 00:30:28,2021-01-01 00:14:39,1.6,2021-01-01 12:44:39,2021-01-01 13:00:28,949
100,48,1,2.5,3.0,7.5,0.3,0.5,1,1,N,1.0,0.0,12.3,2021-01-01 00:50:18,2021-01-01 00:40:50,1.1,2021-01-01 13:10:50,2021-01-01 13:20:18,568
238,90,1,2.5,3.0,15.0,0.3,0.5,1,1,N,3.75,0.0,22.55,2021-01-01 00:17:06,2021-01-01 00:03:06,4.5,2021-01-01 12:33:06,2021-01-01 12:47:06,840
127,43,1,2.5,3.0,28.0,0.3,0.5,3,2,N,0.0,0.0,31.8,2021-01-01 00:48:38,2021-01-01 00:29:24,9.4,2021-01-01 12:59:24,2021-01-01 13:18:38,1154
140,229,1,2.5,3.0,4.0,0.3,0.5,0,2,N,0.0,0.0,7.8,2021-01-01 00:46:51,2021-01-01 00:45:19,.50,2021-01-01 13:15:19,2021-01-01 13:16:51,92
229,140,1,2.5,3.0,6.5,0.3,0.5,0,2,N,0.0,0.0,10.3,2021-01-01 00:56:13,2021-01-01 00:49:15,.80,2021-01-01 13:19:15,2021-01-01 13:26:13,418
140,263,1,2.5,3.0,5.0,0.3,0.5,2,1,Y,2.6,0.0,11.4,2021-01-01 00:28:22,2021-01-01 00:25:36,1,2021-01-01 12:55:36,2021-01-01 12:58:22,166
262,236,1,2.5,3.0,6.0,0.3,0.5,1,1,N,1.95,0.0,11.75,2021-01-01 00:41:18,2021-01-01 00:35:11,.90,2021-01-01 13:05:11,2021-01-01 13:11:18,367
263,262,1,2.5,3.0,3.0,0.3,0.5,1,3,N,0.0,0.0,6.8,2021-01-01 00:46:49,2021-01-01 00:45:45,.20,2021-01-01 13:15:45,2021-01-01 13:16:49,64
237,237,1,2.5,3.0,4.0,0.3,0.5,2,1,N,0.0,0.0,7.8,2021-01-01 00:59:22,2021-01-01 00:57:04,.40,2021-01-01 13:27:04,2021-01-01 13:29:22,138
227,164,1,2.5,3.0,34.0,0.3,0.5,2,4,N,0.0,0.0,37.8,2021-01-01 00:45:44,2021-01-01 00:16:58,11.1,2021-01-01 12:46:58,2021-01-01 13:15:44,1726
116,234,1,2.5,3.0,26.0,0.3,0.5,2,2,N,0.0,0.0,29.8,2021-01-01 00:49:23,2021-01-01 00:28:03,8.4,2021-01-01 12:58:03,2021-01-01 13:19:23,1280
162,113,1,2.5,3.0,10.5,0.3,0.5,2,2,N,0.0,0.0,14.3,2021-01-01 00:50:37,2021-01-01 00:41:17,2.8,2021-01-01 13:11:17,2021-01-01 13:20:37,560
262,237,1,2.5,3.0,7.0,0.3,0.5,3,1,N,2.15,0.0,12.95,2021-01-01 01:03:29,2021-01-01 00:56:47,1.3,2021-01-01 13:26:47,2021-01-01 13:33:29,402
224,249,1,2.5,3.0,9.0,0.3,0.5,2,1,N,3.8,0.0,16.6,2021-01-01 00:21:44,2021-01-01 00:12:51,2.3,2021-01-01 12:42:51,2021-01-01 12:51:44,533
229,229,1,2.5,3.0,3.5,0.3,0.5,2,1,N,0.0,0.0,7.3,2021-01-01 00:47:30,2021-01-01 00:45:12,.20,2021-01-01 13:15:12,2021-01-01 13:17:30,138
234,141,1,2.5,3.0,12.5,0.3,0.5,2,4,N,0.0,0.0,16.3,2021-01-01 01:09:24,2021-01-01 00:55:31,2.9,2021-01-01 13:25:31,2021-01-01 13:39:24,833
170,161,1,2.5,3.0,7.0,0.3,0.5,3,1,N,0.0,0.0,10.8,2021-01-01 00:22:57,2021-01-01 00:14:02,.80,2021-01-01 12:44:02,2021-01-01 12:52:57,535
