DOLocationID,PULocationID,RatecodeID,VendorID,congestion_surcharge,extra,fare_amount,improvement_surcharge,mta_tax,passenger_count,payment_type,store_and_fwd_flag,tip_amount,tolls_amount,total_amount,tpep_dropoff_datetime,tpep_pickup_datetime,trip_distance,tpep_pickup_datetime_IST,tpep_dropoff_datetime_IST,diff
226,132,1,1,0.0,0.5,39.0,0.3,0.5,1,2,N,0.0,0.0,40.3,2021-01-01 00:46:32,2021-01-01 00:24:30,14.3,2021-01-01 12:54:30,2021-01-01 13:16:32,1322
151,229,1,2,2.5,0.5,14.5,0.3,0.5,1,1,N,4.58,0.0,22.88,2021-01-01 00:28:16,2021-01-01 00:13:44,3.96,2021-01-01 12:43:44,2021-01-01 12:58:16,872
166,238,1,2,0.0,0.5,4.5,0.3,0.5,1,2,N,0.0,0.0,5.8,2021-01-01 00:38:29,2021-01-01 00:36:08,.76,2021-01-01 13:06:08,2021-01-01 13:08:29,141
238,151,1,2,2.5,0.5,5.0,0.3,0.5,2,1,N,2.2,0.0,11.0,2021-01-01 00:47:18,2021-01-01 00:43:03,.64,2021-01-01 13:13:03,2021-01-01 13:17:18,255
82,138,1,1,0.0,0.5,12.0,0.3,0.5,4,2,N,0.0,0.0,13.3,2021-01-01 00:18:08,2021-01-01 00:06:08,3,2021-01-01 12:36:08,2021-01-01 12:48:08,720
231,264,1,2,2.5,0.5,32.5,0.3,0.5,3,1,N,4.0,0.0,40.3,2021-01-01 00:43:03,2021-01-01 00:19:57,10.74,2021-01-01 12:49:57,2021-01-01 13:13:03,1386
142,263,1,2,2.5,0.5,10.5,0.3,0.5,1,2,N,0.0,0.0,14.3,2021-01-01 00:32:11,2021-01-01 00:20:13,2.62,2021-01-01 12:50:13,2021-01-01 13:02:11,718
32,48,1,2,2.5,0.5,38.0,0.3,0.5,1,2,N,0.0,0.0,41.8,2021-01-01 01:23:03,2021-01-01 00:55:13,13.67,2021-01-01 13:25:13,2021-01-01 13:53:03,1670
90,151,1,1,2.5,3.0,21.0,0.3,0.5,1,2,N,0.0,0.0,24.8,2021-01-01 00:45:43,2021-01-01 00:25:09,6.1,2021-01-01 12:55:09,2021-01-01 13:15:43,1234
169,169,1,1,0.0,0.0,0.0,0.0,0.0,1,3,N,0.0,0.0,0.0,2021-01-01 00:03:19,2021-01-01 00:03:13,.00,2021-01-01 12:33:13,2021-01-01 12:33:19,6
